from	to	type
3015	3005	MAP_NEARLY
3016	3012	MAP_NEARLY
3004	3012	MAP_FULLY
3004	3010	MAP_PARTIALLY
3006	3008	MAP_FULLY
3002	3005	MAP_PARTIALLY
3003	3011	MAP_PARTIALLY
